"";"dw08";"sex";"educ";"dw18";"dg10";"dw19c"
"787";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"THUERINGEN";"104 UND MEHR WOCHEN"
"788";NA;"MANN";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"789";NA;"FRAU";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"790";NA;"FRAU";"HOCHSCHULREIFE";NA;"THUERINGEN";NA
"791";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"792";NA;"MANN";"MITTLERE REIFE";NA;"HAMBURG";NA
"793";NA;"FRAU";"MITTLERE REIFE";NA;"THUERINGEN";NA
"794";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"795";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"RHEINLAND-PFALZ";NA
"796";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"NORDRHEIN-WESTFALEN";"4 BIS 11 WOCHEN"
"797";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NIEDERSACHSEN";NA
"798";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BRANDENBURG";NA
"799";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"800";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"801";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"802";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"803";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"804";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SCHLESWIG-HOLSTEIN";NA
"805";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BAYERN";NA
"806";NA;"MANN";"MITTLERE REIFE";NA;"EHEM. BERLIN-WEST";NA
"807";"BEFRISTET";"MANN";"HOCHSCHULREIFE";"JA";"EHEM. BERLIN-OST";"12 BIS 25 WOCHEN"
"808";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"809";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"810";NA;"FRAU";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"811";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"EHEM. BERLIN-WEST";"104 UND MEHR WOCHEN"
"812";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"NORDRHEIN-WESTFALEN";"52 BIS 103 WOCHEN"
"813";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"JA";"NIEDERSACHSEN";"52 BIS 103 WOCHEN"
"814";NA;"FRAU";"MITTLERE REIFE";NA;"BADEN-WUERTTEMBERG";NA
"815";NA;"FRAU";"MITTLERE REIFE";"JA";"NORDRHEIN-WESTFALEN";"4 BIS 11 WOCHEN"
"816";NA;"MANN";"HOCHSCHULREIFE";NA;"MECKLENB.-VORPOMMERN";NA
"817";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"818";NA;"MANN";"HOCHSCHULREIFE";NA;"BAYERN";NA
"819";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"820";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"821";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"822";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"823";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"824";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"JA";"NORDRHEIN-WESTFALEN";"26 BIS 51 WOCHEN"
"825";NA;"MANN";"HOCHSCHULREIFE";NA;"RHEINLAND-PFALZ";NA
"826";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"EHEM. BERLIN-OST";NA
"827";NA;"MANN";"HOCHSCHULREIFE";NA;"HESSEN";NA
"828";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"MECKLENB.-VORPOMMERN";NA
"829";"BEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"THUERINGEN";NA
"830";"BEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"JA";"BAYERN";"4 BIS 11 WOCHEN"
"831";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"832";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"833";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"834";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"835";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"836";NA;"FRAU";"MITTLERE REIFE";NA;"HESSEN";NA
"837";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"838";NA;"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"839";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"840";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"HESSEN";"4 BIS 11 WOCHEN"
"841";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BAYERN";NA
"842";NA;"FRAU";"MITTLERE REIFE";NA;"THUERINGEN";NA
"843";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"844";NA;"FRAU";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"845";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"THUERINGEN";NA
"846";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"MECKLENB.-VORPOMMERN";NA
"847";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN";NA
"848";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"849";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"850";NA;"MANN";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"851";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"JA";"SACHSEN-ANHALT";"4 BIS 11 WOCHEN"
"852";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"853";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"EHEM. BERLIN-WEST";NA
"854";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"855";NA;"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"BAYERN";NA
"856";NA;"FRAU";"HOCHSCHULREIFE";NA;"BRANDENBURG";NA
"857";NA;"MANN";"HOCHSCHULREIFE";NA;"THUERINGEN";NA
"858";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"859";NA;"MANN";"ANDERER ABSCHLUSS";NA;"THUERINGEN";NA
"860";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"861";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"862";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"863";"BEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"HAMBURG";"4 BIS 11 WOCHEN"
"864";NA;"MANN";"MITTLERE REIFE";NA;"RHEINLAND-PFALZ";NA
"865";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"866";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"867";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"NORDRHEIN-WESTFALEN";"52 BIS 103 WOCHEN"
"868";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SCHLESWIG-HOLSTEIN";NA
"869";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"870";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"MECKLENB.-VORPOMMERN";NA
"871";NA;"MANN";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"872";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BAYERN";NA
"873";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"874";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SONSTIGES LAND";NA
"875";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"876";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SONSTIGES LAND";NA
"877";NA;"FRAU";"MITTLERE REIFE";NA;"NIEDERSACHSEN";NA
"878";"BEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SONSTIGES LAND";NA
"879";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"880";NA;"FRAU";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"881";NA;"FRAU";"MITTLERE REIFE";"JA";"EHEM. BERLIN-WEST";"26 BIS 51 WOCHEN"
"882";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"SONSTIGES LAND";"104 UND MEHR WOCHEN"
"883";NA;"FRAU";"HOCHSCHULREIFE";NA;"EHEM. BERLIN-OST";NA
"884";NA;"MANN";"MITTLERE REIFE";NA;"MECKLENB.-VORPOMMERN";NA
"885";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"886";NA;"FRAU";"NOCH SCHUELER";NA;"SONSTIGES LAND";NA
"887";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BAYERN";NA
"888";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"889";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"890";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"891";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"892";NA;"FRAU";"MITTLERE REIFE";NA;"HESSEN";NA
"893";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"SONSTIGES LAND";NA
"894";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"HAMBURG";NA
"895";NA;"MANN";"MITTLERE REIFE";NA;"BRANDENBURG";NA
"896";NA;"FRAU";"HOCHSCHULREIFE";NA;"BREMEN";NA
"897";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"898";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN";NA
"899";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN";NA
"900";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"901";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"NIEDERSACHSEN";NA
"902";NA;"MANN";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"903";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN";NA
"904";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"HAMBURG";NA
"905";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"906";NA;"MANN";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"907";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"908";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"909";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"910";NA;"MANN";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"911";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"SACHSEN";"104 UND MEHR WOCHEN"
"912";NA;"MANN";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"913";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"914";NA;"MANN";"MITTLERE REIFE";"JA";"MECKLENB.-VORPOMMERN";"26 BIS 51 WOCHEN"
"915";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"SACHSEN";NA
"916";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"917";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BRANDENBURG";NA
"918";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"BRANDENBURG";"104 UND MEHR WOCHEN"
"919";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"920";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"MECKLENB.-VORPOMMERN";NA
"921";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"HESSEN";"4 BIS 11 WOCHEN"
"922";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SONSTIGES LAND";NA
"923";NA;"FRAU";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"924";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"925";NA;"FRAU";"HOCHSCHULREIFE";"JA";"RHEINLAND-PFALZ";"26 BIS 51 WOCHEN"
"926";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"927";NA;"FRAU";"HOCHSCHULREIFE";NA;"BADEN-WUERTTEMBERG";NA
"928";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NIEDERSACHSEN";NA
"929";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"JA";"NORDRHEIN-WESTFALEN";"26 BIS 51 WOCHEN"
"930";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"931";NA;"MANN";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"932";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"NIEDERSACHSEN";NA
"933";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"THUERINGEN";NA
"934";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN";NA
"935";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"936";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"FRUEHERE DT.OSTGEB.";NA
"937";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"BREMEN";NA
"938";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"THUERINGEN";NA
"939";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"940";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"941";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"MECKLENB.-VORPOMMERN";NA
"942";NA;"FRAU";"HOCHSCHULREIFE";NA;"BAYERN";NA
"943";NA;"MANN";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"944";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"HESSEN";NA
"945";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"946";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SONSTIGES LAND";NA
"947";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SCHLESWIG-HOLSTEIN";NA
"948";NA;"MANN";"HOCHSCHULREIFE";NA;"BAYERN";NA
"949";NA;"FRAU";"MITTLERE REIFE";NA;"BADEN-WUERTTEMBERG";NA
"950";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"THUERINGEN";NA
"951";NA;"FRAU";"MITTLERE REIFE";NA;"BAYERN";NA
"952";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"953";NA;"MANN";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"954";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BRANDENBURG";NA
"955";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"956";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"957";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BAYERN";NA
"958";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NIEDERSACHSEN";NA
"959";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"960";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"NIEDERSACHSEN";"12 BIS 25 WOCHEN"
"961";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"962";NA;"MANN";"MITTLERE REIFE";NA;"SONSTIGES LAND";NA
"963";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"964";"BEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NIEDERSACHSEN";NA
"965";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"966";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"967";"BEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"BAYERN";"4 BIS 11 WOCHEN"
"968";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"969";NA;"FRAU";"MITTLERE REIFE";NA;"BRANDENBURG";NA
"970";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"971";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SONSTIGES LAND";NA
"972";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SONSTIGES LAND";NA
"973";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SAARLAND";NA
"974";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"975";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"976";"BEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"THUERINGEN";NA
"977";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"978";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"979";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"980";NA;"FRAU";"HOCHSCHULREIFE";NA;"BAYERN";NA
"981";NA;"FRAU";"HOCHSCHULREIFE";NA;"RHEINLAND-PFALZ";NA
"982";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"HESSEN";NA
"983";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"EHEM. BERLIN-WEST";NA
"984";NA;"MANN";"HOCHSCHULREIFE";NA;"SACHSEN-ANHALT";NA
"985";NA;"MANN";"MITTLERE REIFE";NA;"SONSTIGES LAND";NA
"986";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"987";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"988";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"THUERINGEN";NA
"989";NA;"FRAU";"OHNE ABSCHLUSS";NA;"NORDRHEIN-WESTFALEN";NA
"990";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"991";"BEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"992";NA;"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"993";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"994";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"HESSEN";NA
"995";NA;"FRAU";"MITTLERE REIFE";NA;"BRANDENBURG";NA
"996";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"997";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"BAYERN";NA
"998";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"999";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"1000";NA;"FRAU";"MITTLERE REIFE";NA;"BAYERN";NA
"1001";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"1002";NA;"MANN";"MITTLERE REIFE";"JA";"BAYERN";"52 BIS 103 WOCHEN"
"1003";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"1004";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"NIEDERSACHSEN";"26 BIS 51 WOCHEN"
"1005";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"1006";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NIEDERSACHSEN";NA
"1007";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"1008";NA;"FRAU";"MITTLERE REIFE";NA;"HAMBURG";NA
"1009";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"1010";NA;"FRAU";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"1011";NA;"MANN";"MITTLERE REIFE";NA;"BRANDENBURG";NA
"1012";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"BAYERN";NA
"1013";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SONSTIGES LAND";NA
"1014";NA;"FRAU";"MITTLERE REIFE";NA;"EHEM. BERLIN-OST";NA
"1015";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"1016";NA;"FRAU";"NOCH SCHUELER";NA;"HESSEN";NA
"1017";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"1018";NA;"MANN";"MITTLERE REIFE";NA;"BAYERN";NA
"1019";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"NORDRHEIN-WESTFALEN";"4 BIS 11 WOCHEN"
"1020";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"1021";NA;"MANN";"HOCHSCHULREIFE";NA;"HESSEN";NA
"1022";NA;"FRAU";"NOCH SCHUELER";NA;"SACHSEN";NA
"1023";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"1024";NA;"FRAU";"HOCHSCHULREIFE";NA;"BAYERN";NA
"1025";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NIEDERSACHSEN";NA
"1026";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"1027";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"SONSTIGES LAND";"104 UND MEHR WOCHEN"
"1028";NA;"FRAU";"HOCHSCHULREIFE";NA;"BADEN-WUERTTEMBERG";NA
"1029";NA;"FRAU";"MITTLERE REIFE";NA;"THUERINGEN";NA
"1030";"BEFRISTET";"MANN";"MITTLERE REIFE";"JA";"NIEDERSACHSEN";"104 UND MEHR WOCHEN"
"1031";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"1032";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"1033";NA;"FRAU";"MITTLERE REIFE";NA;"MECKLENB.-VORPOMMERN";NA
"1034";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"1035";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"1036";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"NIEDERSACHSEN";NA
"1037";NA;"FRAU";"HOCHSCHULREIFE";NA;"BREMEN";NA
"1038";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"1039";NA;"MANN";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"1040";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BRANDENBURG";NA
"1041";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"1042";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"1043";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"NIEDERSACHSEN";NA
"1044";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"BAYERN";NA
"1045";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"1046";NA;"MANN";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"1047";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"1048";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"1049";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"SONSTIGES LAND";NA
"1050";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"1051";NA;"MANN";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"1052";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"1053";NA;"MANN";"OHNE ABSCHLUSS";NA;"HESSEN";NA
"1054";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"HESSEN";"12 BIS 25 WOCHEN"
"1055";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"1056";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"RHEINLAND-PFALZ";NA
"1057";NA;"FRAU";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
